Connected to /dev/tty.usbmodem1101 - 2 loops 0 phase difference
H_min: 0.0000 | R:   69 | Data: 48346cbcfd20042986987efd3e9a971a5dc8b00bd6eaf07a9c50ca56bdbfe73f56a617efd949d8ee82c5154b91b3f3e1d256ed0d84ea3a6155c74c6b2c2d67022b2d0345de58f482c2169e1e3f5cbe57d02c18c6168dade79a6b34eb2d0c929e603753a20c4effb98666116075506d04cd92ad7a650cc4f31caab32af598aa35
H_min: 0.0000 | R:   74 | Data: 07a8df8cf94e59fddbda75895cf8fa1fe35441868ae0f652efbd7c02e34140e44dff141379b8a62f9723d6c45b258614a8c65d087c5f51874268d3e7792b4f2975497889df94b3d1743d995b90a28df47113d8c2325ce21bf52e2044275b72c7dc19bfe997ceb62d78d38895d7fffb618a79282d96d025848b210585f1305c95
H_min: 0.0000 | R:   75 | Data: 821ca33bc34920621cddfbd82944e7fbe9a861a6d68282fea86a6206c133a4ed36fdc0905c5c5753d02cb9045d179f03fc75e7ee6fd131e59632727b6a85d83c4129a084579a6524b1ffc6ca5571c46021711613e4719015f45f16491917c684a6fd59ef854ab44e10f2348611a1c0d548982c879a478b5ab17abf0ae4ee3d21
H_min: 0.0000 | R:   69 | Data: 297f2dc231ca9337574adfe6aa7fb56b0814072b781a750f86a314a998242b11d13d2d8fa89346a3e113bcfae031e6b23748f12a2ceab8b6e4b0917c912153669ef8ce713369dce2f7a3534e7809e6c96d324b599e51f6630e22d1343459c1f43c45d729cfd54b29a282910fdf13dafca279d05c16e7620d872aa6f38a48eb98
H_min: 0.0000 | R:   70 | Data: 5515c82621877eda01af993837cf9b537944b5a69832e6f01c8d9113539ac0eee13a8c0d6fbd8c7291f3f8e293df32a03f1018e99a2e643bcc9bbe7e2fa54246de9aeea9530f4c113304998662bb6bb8b43aeec51ccaaed0443b9e99e79fba1ffbfcfd556d1167b28f20432a972585411a3214fcde127bfe0ee923a0874adbd4
H_min: 0.0000 | R:   76 | Data: 283999388dcb9d4eea82a676739607fb50e649a8a11249cbbe38761249bbbe908910fb358d24c20cc064830852840d6674efd17556b07585899491d4ae89cc2717e83c0912469b999413befe5e044281dfc0a0e6599a6bbdf75bf670e45ee80a9ae0c366e1d9f48f650c9fdce058cbd7583c2a7f6036d460eccf37c2c661151e
H_min: 0.0000 | R:   68 | Data: d7d2b1602b5b3cc3b24ca7a00cdc0e4870405ff747638dd2c070f62aeee2abf1def1600a8bf0cf7dfdb22dd19c5aab468f9b0ab0fde3d1c31e45e4c7551714b7a00e7fc95650d320a01c06384a027064297656af72a27ff42718394b44245680d301d6fe4629245f410e2be99276b5eaf88dcb667700b64446dc8e80e782bd81
H_min: 0.0000 | R:   69 | Data: fa275cc4f23f7845bf484847c2a7ba9c29b6d67f4a0f29e91db7cfcc7dcf931ee254e5165d8dd0632c47c52552b64d19fca79c6bafd766c5985b2dc47cb176e1f1a18d0b1f9f46cd439bc808edfb6bba07d49597dd6df71326b8b94f95627e1e405e246c1302af5e7985931819bb46c1436abdd539737dea0be85634af9be653
H_min: 0.0000 | R:   71 | Data: 67587eff23e247516efd41f09bec616352e21641ea497eb54f0921fb98d9e3d37dfc84029b66b9239a27dfdb4c550d5a5891303d884bc7335a20353295f90d6b081e1a2b459ea27996fa22d6400354591ad98cbb08815910349515ad047a9a3b404fd4b8422314bbd5eb0cce1dc4a595a2b5d33f3bb8bec0903a261adfd716ac
H_min: 0.0000 | R:   74 | Data: 6555a298c1230cd6003bc236a89ec9a27d56e57e010591a856d71babd399a03205ac4ff9f3c134eb587ed54b786638a2904fd51cc528029f5d79ab4d6878a572e8ea6bca631380b92d889a4d4ec6287c750928ad1864af0188076f45807fc0ac784fccdc7546727470f42c1050a6b204153bb3b318f37ce9d21cb4625fa7c7e3
H_min: 0.0000 | R:   71 | Data: f59963683a763fc117e952d9f7b6e7b09144de05d9817ba8754f7e7d37fdc2d3e388ccfcf53a9322f4c669b7c8a4998491fc7e2f5b3ee88371d0a3a2685b89c3b21e9402bc801b72ad18eedef50e1a062d0d5e3a938a590c5921749403a3c3554f7b3258dff8132f8fda619e5301418be997ad80a059ac24fe03fac0b0573f17
H_min: 0.0000 | R:   72 | Data: 9892be989ce904a4db31304fd9676948009157f4e0ce7e7906c6dae7f3cce436e8d6e7e1268776f58abd61ac17e3e95fbf20904229bb5a3a4adbd02280d2aa179c82f9e78d11acb288f4ef0bf8aa38833f569947c83fd143ce51c0110a2c766f84efb86182f1f9724745af83e8e463d6e3bd22e807fe3fdd1a10322bc7edf1c5
H_min: 0.0000 | R:   68 | Data: bc5fa9a106eb1526243a7358cef6e127ccb0578556fae8124bb7b5d6e62476dc1a0f41a90b4609324457a3b73992f4d6cfed12a197b187bc7a692df5c89cc406295dd2768480f72a613902eab63de23714b5521da18a3da4f0411e5ec529baee314b45c1926565304f75e744846de3ac29e89a7528a90c4c168f6377b82019e0
H_min: 0.0000 | R:   68 | Data: 2af9c972c99bdfd0b39e45973717a7405566c4c0b40eb1762c731f126e6c7a6a6fce115f0655d98e0371ec3c7e626bdbbb4df2264d888d4c420b644dd9250c16a92c15a6d8d33ef61d5c3968dea5047a7f4fb37eaf34a75217c7caa1dd49e9ee8eb4801e3e3b5d07e00fdcf85c25a8f60b8b45738d1fbe4f5af30e543045034a
H_min: 0.0000 | R:   74 | Data: e319303b5e93aa5d8693074ccbc2983b077af0f67cbda18116f54a95a33153d2159dc6b486e2edd9c1160da745581a8abace05d4f9c09e78a2d61412fa487be86e7d9d3fbc2c71ea243b33423d6bb97b22d2273a3742f0b0941d654d124c20277bfa9822b05c48e368cd90384a5e63f3742b8c38655448358b7d066c80b31a07
H_min: 0.0000 | R:   73 | Data: 67eb87500ddccbf2dcf8d7df1320017d793a0021eedcda25ac39985e4508eb5a3c17389ffdf07dae168d0e76be21e6d8818eaf104d54541c5fe10316f6f90b13bc58316433a54a3f0c4d8fa6ba8ef0df9ab84601e8012df387351af864e55ed0bb7fd7683cbe5f0292f487f653165984ad5eda84a9caba0a35d5fcfb210e486d
H_min: 0.0000 | R:   71 | Data: 120e368a1bd945a5f2424485254e6cf4be194ddfd466afebb9c9024ca930b2a21d8de987cc040ac90fa070ecc7b39532b7a99b5f95e4efb8fd4cca03438a8691081b50fac7ec399b2d40f49cd7971712aa0fdfe826aaab4d5b3307f9a637fe9399c2c8f75d3b7f5260bc2be3cfca25db845edf5bbd466ab89ced8c0832d0622f
H_min: 0.0000 | R:   67 | Data: 12602aa7cceb994bf8d0ac2523fc1c0521b2079869e0f17fede2fd3c355dba44bdc9c0c274006333b6274bd0bf0964b2fee796319990003ead69d93846661038d539fd3369306f4a22769bf8e8ae40231b73f15f05e5d170db6538116a28920abbd45a63a29d190f18959a2bdaba33fc4c385c7805d97afce5f28420a476766b
H_min: 0.0000 | R:   68 | Data: f81327d9eb057c71c8acf8634fe1324c49fcccc6fbdafc7fb692f9f336cf5f237f111c45814e7b4f31db1317f01c2ae7ad3cb6106f07ca3773fea03b7a57357e5190a13b4fca837d20a045c79bbd564e6c6ca14bb0672f9cf44a4980e900a646bf9bb601e3943655bf0dc0bb89519db80f7eebb23d9ded570b65beedd410625f
H_min: 0.0000 | R:   66 | Data: b9fce84c2e1dad726a8370670248992cc36bb057b6ac411bd64c865fc00145cab100b3f64745e2db2a8a476e63788ec3db16333c0f7cd843b79728f4447aea6021c737e50192cb13612cb8015bd1bbdfa5071173ffb853b3bbc816a090069c6cbac8289de216b2b09943c4f89410e312b61ec49b5fcca9dcb746c95ce3f116fa
H_min: 0.0000 | R:   72 | Data: 18c7239ecb81bb9b865aa8ec9564825f86a8a1462e20a63dbcaad34ec8b7d1e5a732adb6f3fb41359c01c1ccb2159b8ae383bdec4e945a95d6a6a6824900a043afb5a595e3b566003785fb992ba951a0525db98169305db1affdab451b09a2878a65e0c6fd9cd9e1e11ab85033345a2a62fbdf1f0386e04362c1b150af3550a1
H_min: 0.0000 | R:   73 | Data: 4414111e2ebe9ce427c87c6c4cc175fb71220cd93ef966c426059a1244d9becb85f0176bb9d6a565358021ee9c6f8b0190bdffaf9a4f2f60f3213a64c5179eb6db66d8735aa28f67c987012cdf7a86bdb7ca8547a1ba15c441551f65f38358660fc9eb336a5eba1cb65dbaab059048bfb0c556523c8d082f89f07d069eea126e
H_min: 0.0000 | R:   71 | Data: e54a835ff96c76e0af3308d113c82f7dc60f89e7d7c69a28ddf21095e71ea3b26dbb659c66b374b4d11b1249357a76f023264f6daf2b73c233502e8a39dd281ee8b7e3f815aa4959d0dda4f934ddcb50f34ea35a9fdd28fac2649ed9f924aacff343105e568c79520c65cc21d4b74e0920d414d63afa8adc17718420ad6a4237
H_min: 0.0000 | R:   74 | Data: edee3242ea107c6dbec65e80c7e6e5b21b51eeafe676b1152294f2a8811c6a4d837bf3c93d79a0a53aa62f1a0c310e1673121322d9327da341da732d53fb6ab0dd1007bd03f0e5d80befca0e15477f7a26ab549992c947d7a1bce96afe328215f3b1cae7d23c1bd94ad76376be779f8887823310d3153f309671d0b6dc8b2d67
H_min: 0.0000 | R:   72 | Data: e05434dce680f50e7c474c49a42a21883ef39f35e0d3a2bfd98aaca8262d0a9e3c38901704e51ad3c5ddbb93b1d9750ce096bb6308165d7f663ca65311eb1be6efd8e7a905490c2e49ca063022c047ca84b26b8eccd211c6787bd3f3da794d69ff9d4b91755988e69ed77395d0595b8080de7209e5d0092632d9415eb4cd121a
H_min: 0.0000 | R:   76 | Data: 6fe34ec11f37673c6fc7d2b0ec87b30ec31e5c9164607e51c825c58d80370c0e42a2dcf46cfdf0836da43fe99b7b4232b252548c5710513067b6fe495c32381d7e2734f7e2a4b879e27054c1d90d1c60a764d6ab80e133ab73732d8fbf22b7bcb6ba750066ad98fdc38e6c6c628e5ec47e50a7f7856c86e2145384bbdf9c65d2
H_min: 0.0000 | R:   74 | Data: 90b0327f1f1f13e5a7a33a47c6227bffbf77b8b41c3c91b35f0ca0d189ea987142905471d8ac58232c806f042b8558630814d7814f08ba4d30d965770fea7282d3646cb4470d7d11a68ce767cedf1370139b91bff2ee339dac589f228e2f6bc19e4fedafd8c6162edf4eba8adb94eb65f177b35f739cfb78dd126520120a40f6
H_min: 0.0000 | R:   72 | Data: 4266c10f1bcd09ac4fb75a4c2a902b92407b88f9efab47ed44aaa6754ac9b89679fa2af53a3b6edf8067b19c7940c10e26768df4e63a07cbc1db1f812514a429f2dde64d26c8a16107ff892f3006a727245c622f1995d6c6a13b484087998d449e93ba9916c54283cd1e7d699196654d7df103bdcd2b71a6d5fbdf4dda1289cc
H_min: 0.0000 | R:   74 | Data: 11fe7536d5214ace7684e0024721d9a5172cef9acddfdf0efa6ed699d6c18a6b0d5920c5cf07c35dd60cd77c29f13d180bad258f18ae3273eed43d83044c70ff2df4427e369531386ff569534086797468881ff4c18d43adf8e636cfecb4b5edb921cba5dfb3665cd896703d76da152a27ceeb71bdd8a6afb8208cc532477c16
H_min: 0.0000 | R:   69 | Data: 941da90fa7c03e053df3f6fa92a56e36117c8e3c1d7436c640aba3f1ad02dec8eff40ce332121b2e772151ef8f99ed47bb0234b9c659cb1dcbd9f5b27cd7d453a92b0bde34d702e59408dde913afb25c3144d22b098d3c9bdc46feac3910e82062bce442e126164599d24b6ab665611758dfd631a470e2d1d0da375e63c7f222
H_min: 0.0000 | R:   71 | Data: 99ee2a7befe90a76658c87ace5334933d421074e270023c5a04b2a48383cf26cb70f4f27dc4e1a4dfefdfff6804c417d7798c26813d1fbeda3e2b8ef446c66b7e86b851b70b683310c7ee5461acfd52cda2b5e87a8f776301dd84f82d9538ef60305fc2a214a40de87a058df0156433320d55f0bb28accf5cf14af054505661b
H_min: 0.0000 | R:   71 | Data: 10f0becbabd699ada87af86b22ab920d8effc64e443a0bec810aa4ea2a78e4cae2a0c2fb8d42c080080506ffacc580a0e015fbd1c42fa31016663eea80d994f4cfead1361a853d5f35c3b423d54d6500e7b4fbf2a5dc06081cc6ca4608e5e936a6ec72a32cc07d10ebf5d7f308569f7cf11f7b84ecfc63ad1f8ae29d8423a86a
H_min: 0.0000 | R:   69 | Data: d103185e407d1d419c47513687c1d15815e017957fa9b2439a98685cd436ceac833fd2be7e050ab12ab6796dea0c2d98f72e866b848819d98a83e6dc868db751aaa8efdd1feaf7098f78141cfe18b880fd82874cf171476fe8111c648312b48554bf1fe23342a51b227847411c8739c0c575c5b10cf883df01ac321ad63d837a
H_min: 0.0000 | R:   71 | Data: fe23a0c7d5d1b65bfc1b7458ea82a21404f8345cc0f886d3f2b473fecd969821cf521b5995007705e0054207df919a3bd8ff07b6b79987cf2629cac2798bf17684ff699d386dbaca3667cfb2d3e894a1b32f86550e08a6286162bf6287e1f1cffa7f081d1a4c5bcff42cae4c0749e0192274173f2bf9a54a9a38b1daaa0f25a8
H_min: 0.0000 | R:   74 | Data: 5e57d674d93f3c96bdf7bc7605b7ad8004c02e9439a12a892debfb3ab3718758761574b82d07de1ad0088e5fb88eb4e8268d24a4ab8cad8c203f0f10bd405f8b724bde66ac98d8aee022a5d21869be099e111e0855c6acdacf221c15a6d597df15452a6a4d8c662c305682157e1f12c1c8be922f293eb5aeaf46729ee6232299
H_min: 0.0000 | R:   75 | Data: 5fb7f93b595d5c49d2319b67d397cd8567787c0ce62984df3c5c836285081a3f1474bbefe6c14a1b793a18e5b024b436008a23488e9251103778d0c1ec87cc0a55f118ea8ddcbb3f720ebb10ca2ee8eda9f288bdcef3515c4e8308b86be9194bc98cb009b882edb5db24a8ea7c427e662f33dca605e1a6afdb6fb331be6d5fef
H_min: 0.0000 | R:   71 | Data: f36fc8b1191757514dbb9bdec122a7384c0177caf5863792c93d9b20ec71f25623c156069cd7037b7ccb78353283b45d73d90cc55f0b84d207ab06b19d291650c8fcc5211e858d898b560fd0a0d00392cac19c2742e8d0f6a1e825098b5a0f08c9e3d52a64fe2ff07ed843f413b294a0da1cd3373584261d7296875e189368df
H_min: 0.0000 | R:   70 | Data: 788cf2bdc422a292d08b694ff6049e53a9cb068775b69d726c28951c09f17379ae09f6e7d1973a556f5c54f2f2e16c12850bff11f139aad90410cc33dd481cf47968c9642b03e34bed249e3be36cda34133a6a0d9784d13db662b13a59730e439021a653a22c4e1575c9514ffa00037c2af6f0893345f0bc6fe29a8e52f6e296
H_min: 0.0000 | R:   74 | Data: 3395c951db01e85833d0499d711a610107afd070587eab1fe2cc1da0a0ea0cec47701cae0f4f46488c594b66ad369bc81a8b431a59def47a02e620767e2622a2dc1cce9e03fc8f59e0f4c3142f8f03f7cdff9174ef87f7e0a13fb0785d272e33c0ea75b083a5a3a4866090cd12f3c38d3f1ec7a3bab200d31143fa0e561343ac
H_min: 0.0000 | R:   75 | Data: 0a4617f776af15b514362a1482e4fd53101e620122e72b92ade43c6198dc0e351f6ba18b10d111e443d6155f933fee2399a809990ef3b95eb6d1b43089c1f582e727526d18464ed0492b4cb194613d69a80d7448d0a5c628bf5c18ff437e626d4071e96640823a116cba981cc5459e641c4018d3b30027cf9f8734e0e5bdef57
H_min: 0.0000 | R:   72 | Data: 73a2b90265d7b54a689672cd9d55926a9949f73877545a984d58f99e38da3463be7d790160f109b80613c98fc276e2bfd086001b2fe6a8336fb8531ace84a7a2df56efc40d2679cc491d2dba3f3c2e8edb3b7ab41198b7112b88379879ce6d8d9086fb0aa61eda0981ed5b25adc7dbd371a9b3c742d23e2bdad3472546bfbebc
H_min: 0.0000 | R:   64 | Data: 1631240c212086c2ab244bb506d0e7542937f1073b817db8d82b4c25a91da66f5a517e0ecb374b03c64573df162e65afba42b6828ed366b9a751921610aef3f6d53654927b758c82e7fdace081811ae04edb91fdb804a5339341fa5c9143106038bdd08b54fe0f89549a00a8e85a70877631b186cecb970e8b9778b9981e2f0a
H_min: 0.0000 | R:   73 | Data: 42d058f5c727240d5b1e696139f54ddbec53882c7f1fe7b1a1c5e0ba94260d460bc000abcef70d7b868737a49e34350afc7e9e29ed9cddddefafdf08d51638849b4c52fb22746f546ff8765ae9def708b2c3df06c51939169bdab719c3abf123e90b9b178b71b2258e6110db1fc84a0123f60ea0cb8b68d77ff7e5ea3fcceb01
H_min: 0.0000 | R:   70 | Data: e3ea823b25396913e95b03952bb18f97adbcc8a02e07a6812474d1ef85820262b4219ba6cd9e3c3bbc0f0e05f17e18dba9daa6138df43d7225eec2f79ebf37c0537f78c807e3820a0d97085c67ce77c8b51ef5843ef0556a27a19b628a16d1a985a0e65a87ae6119dda727a2785cb74ee6eb83b79dddd461c1cdddb86fca7350
H_min: 0.0000 | R:   69 | Data: 68997e0a642e6ac48edb8ecf325a68eedf8321af200ca96effddff9d16ff6de357844bed1d4a4bce690e043cd7f7cc4e50f131bd120c13cc8c8810b6d169df50715cf86272fa12c5b8e9befe38bdf029b3d6bbeb776c4d7fd60834c2aed1793c10e7be3012c3e3a533c65557fcb37adc2c574512f4e1e4d9ad905797faeff694
H_min: 0.0000 | R:   74 | Data: 84b9c690728295aabe4d97aef06ecfbe9f5cc5181582f29af345751c3bec616d8c951283752550d41f1afd1b7803af47cd2a2fa18e0a98d1c0ce2fd6b5266215286991b44b666c5ffc8ca13e8150caf19e2e4e0afb9a7c603631615b4eb14ceb52ae81cff32fb9e8571e3a088b5f9b86c836fb116161bcca00bfd8309e3f424d
H_min: 0.0000 | R:   68 | Data: 81da71ea6f17e1b4312350e8373c3cfe58ff78025fd1a5fe7a788a866b2985af6e2dfa4f461ffaf9bda475cb4e7d1acc1c108db5a6e71659f85a9a3f7f4be1fc0aef24b414e6681c817b546ab2780509517100d4c0a87cc43a030c5db93dd37f9970b408f0450a7e0bface48376db53a3c151781035c046105087e55ae8d4f58
H_min: 0.0000 | R:   67 | Data: 5b5ead3a6ce7f2fac825f86c41f3fb1e89fb5a0ef72ebeeb1a6fc4ce054991218b5a750d4eddd43f1d5c31233dd6f8a72a9228736b9bb0e4011a9f6398fdea9062da40825aa2266d3525400a23a1f509e4fc6f1eaa653b14d29d95fa06e228a27a13027b1930c8dce104efbb61e2974282c4f44c5417adba1b43bb6c150b3ffc
H_min: 0.0000 | R:   77 | Data: 331329ab850de573654c4d8ee890992f132c8809144948ed0bb74376be77129bb8b6c9f80adea9b336a82fefd28db898b7eebf706fb45234195f6b25a2f74c08ec1fc30961560b2f8d3c897be9646c78fba644715c05c36aa1d3f05e21c3b80abf5ea107d740333a19fd50797089216e552d704069802ce919c8706ed2b5949e
H_min: 0.0000 | R:   67 | Data: 91b3197ee258a14cdf004f6a2af4a88caa8e97ef606bb04da8607d5cda552c9138d60e2f6e9609fe73fb320a9a35836882b31a8d5e361481394e4715be4e3e17db09c8e6f80d2327d65bbf9a06690477aea0d68de301ad6a5bc8d7f7cb3c586eb79d4101d77db1774160d5a766bd268a686c5ef9b28128be91eeeeef32cbd142
H_min: 0.0000 | R:   73 | Data: 4df10e7a4614f86abdb1c4533236ea50e7286d6b885740cf41850d8454a64777372ac1c866158fd97bc9958288a18bbcd585c0c795e77e0dc1aec3e48848c74539b8e26016c513bd3a6c46b744318be7d727914de8a4df74cce1dec6bc9030485bc7c518ff99a02de9f88719ac3cc3389a65fb69df85657709dcbb6528fee88b
H_min: 0.0000 | R:   70 | Data: 8bc2ac099d8ec64ae166129793cc9e103fdd19cbfac189843d14043dacd4d6ce801ca2f789c8f2e755a76e28e2663e753b4c855835eda688bbf1ae0c9823b3a5335ce10120b70795c5bcad6d574de61a124c5d4d901b6496e97e778578ddbffb08124f3f06e51b3200062e539b7040accf9d1fbd0223d39fc819c637edf34179
H_min: 0.0000 | R:   68 | Data: 4d38b425659fa03ccf19bcefec7f7c6184af92cf7996b8abc432ea5d89d6961a7372bdb3016872fc0e26fa25e285ba5f609de950a6e318bc668bfcfcbe9faa51baf6fd0ffe7145e55d72a56c093264e385acadd62eb18be91e5b27a40a43470d065dbbe0d3c4ed74f9bd64c66813d50036cb610e6e8683edc03d3cfa4073788c
H_min: 0.0000 | R:   75 | Data: fda9bfd1c2c0fca051ae0c59c9834c9cfc875653566f9d16092fd4cd903a72e15c531784b38a2f92a4f2db8bd8d843ff1b65c71bfa839f17a438a086d2c736a91b5522ff43d670fe99db65b607ffb8e4bcdfc79528058b58328db8845c78ad6c102515b704cd2921aa56923f329678132c7af06127cc1ba2f0821a04d42d0f22
H_min: 0.0000 | R:   79 | Data: c0f01cfcb364cfbadcec0bf9c82db474ee34c28c39370e2068163678223eefcf1c4ee816b34a55f26e7c56a622d1b13f45196229688d6a584201cbaa5b3402f0cbb9714be81ff003c25923ea737af71f18adbc194ea728d259052f9f11fc26bc2e2ed4953cec8cd1902a8da887173ae4a4001218f1d954afbc6a0a5ac21b8d4e
H_min: 0.0000 | R:   72 | Data: 993df02e3088bc9e66238759c76b5661b2937426010955421d4dad98ec3d3231cd71970c18c6cea5376bbb015440637f57d07091c22177d558cfab22441a04b710855f739140588582ab993467dd193d23ee28826d441d331156002e8e243215fe41bc09c02bb9b2a530b2878dec555f9642ca443cc705327e4517b47301cd6c
H_min: 0.0000 | R:   73 | Data: 42333ef025fba4a80d50eff18f07069e198e3894802c6bb836d121f40a7a124a104654fad769a5998d36798a94ff63844d9f947434d3a6e0dc9b1b580a7098a16cbd3076e6323d7e96083d5d5dc7d995391112eaea5aa8deaef372a2b1c9e5cda1aa235c0db978a21e74f47d6e9d6a1ddb4d7f93d77c31edd97b04f62ada36a5
H_min: 0.0000 | R:   75 | Data: 31d4ec95c98a7065c2c3a35a3cc20e62b6057dad8ce9176dca33c7e7e05bfc92c216a1fa6573eb7d0e0097d61b12552a5eb0bb06962074bdec1e6f92239b6b5419be7f97e27ba602d8ff9067b81e32fa774acfee8f19e8c7241c3b9c4ac4adf69b8f5d9065cc5032e57adcdb78bbaa896a0d69bd80000039acc7987a23ac5483
H_min: 0.0000 | R:   72 | Data: 4419e1db170f29c954a76880efa1f0233ba71c5de65779a2ef8702e8af8a12624c23465292cef293315bf142744acb9585408c117b5e267e963085565334f64d5437f3539d64e2106868be1813b283910387cf3846443e574f6f71edbd8c15d1d539b7fb27f8d6bd77c5160e25e81898d8be42c45d6ffbeabf86600faeead07d
H_min: 0.0000 | R:   69 | Data: af06447cb026c9a5e911ba1d8fdfbbfc3a450e73bc81e5b001d587ea7b600a51dc8718486c3434dca2b7081d7aca59e9187d4b3a82220fca19dbc8350b12c210c8e524d2b83275d4ce7d9c2c45b20dfb68749dcf385daa03d969f9586e59ac6b84db3a1e1441abf212f75ed7dddf947a4fc813a4ed39fbdee860df306e2b3b43
H_min: 0.0000 | R:   73 | Data: f32284f06fbb863261dfc18ce5292429617f7fc607fff59e98e4449c2aeb7bb044f628bb10dc506b8afe79ae75d5b6172bdd6001556cae4354dd48162ebf4dfb8f280f60423b8ba21df606efeca75cde723cf99dd19906cbfdbc8b28381ae15f426307ed0dde9903b94bdb4adab25575b06f94ef237cb4d954d38fd53b0f8421
