Connected to /dev/tty.usbmodem1101
H_min: 5.9320 | R: 1100 | Data: 7fdce90e5699ab46a058073ce8745fc924a5440c8b100da977fd02b99def4c107e442294b030816b675ab6e03f7d32183328d5c3ef80e01197ca3a1acc111f3d7b869fe55fb05525e0935bf64743ab8b1cf44a19a57743efd8cb4a1010454e7c4995e5ded1bdeec3baf1e469e5544fa8de621beff188b30c7b5e1c75567f324c
H_min: 5.6000 | R: 1122 | Data: b1fe8258bc7b3ad39eac75e7f6c335fd51def3522f03d9933d4b6bd920ddfac8eb0798e454894b864516b563f5586365f1333d043b0debd659ce987415cd44d7917b325c8f194579b430f77f1f9807d5cf4e50021ac2160324067f482796f969456aed8f5f4c937819d4b37fe6d7ff4aef4e2d5a63cf6947ae6e69a0c7945c1b
H_min: 6.1425 | R: 1127 | Data: 25e6d59ed64754885dcbf0cbc94fd1415394c2fc7f3edbf42e63f3cfdc8deba42b2531ef927182f0c317b2c62b574df51874c07fa12a81153b2cd46fe7157f5fc046a8efe756c0cc8a50099cc2f09d3ec20d75b60dbf37f383dde86ec8647118ee53963acd40e33af53ac126df70dd0c4be1722caa68f41065fff8195e32d7fc
H_min: 5.7541 | R: 1153 | Data: 7b323a3cc4ac411a89efb685b81a54ea4578956cc1ba21841a667ea8456549aa9e1207590e8375ea7baa49414a871cb63c329016630c0793dbb42cd89807dc475be0663c2ec4508ebb3200ce4e9b25afb226d680577c839e2f49c9fb2371e047ce9bf2fe68d9b5577b532f5067e7dfec09f52c66b630d4e285536dcc34119449
H_min: 5.9320 | R: 1119 | Data: d6e99393879cb5d07f4eb003cd5f1a8fe287b650503b4958d2ab3fa07b8e354877a6b95194d32951be501ed3989b58e9fab1ae49829a72472b911ba536964138504ca7b66aa2a9f0f8295436744018bdac538b0599d7afbdffe39a9475f89ede2e7ef3262b99a4789b813c988af5db4b93ee141d2af36dd39e8931f3dc7d356b
H_min: 5.9320 | R: 1133 | Data: a005852a413043a95ba6167b6e2b7204dd7f994e861038f6e20e293468fae8116823ed65417b9a04bf664a06b4128422804a9b59b3360bef0001ac9197cbc426e41035ccbdeef818ec72b4616c44eaad9e24d694de79009529b039aa2af9f495a74822d8f5d0ae661e1f81e04033b58336a7e4ce277700470186926689ea41a6
H_min: 6.1425 | R: 1124 | Data: 1ff402549473f5602ac180c6c0f37e012093339912de1291ad81cd6ac937253012b26c4ebaa684da2deac0220dba9d21facd3056404ac31c0681e7592184a5d583d5f5b0c41ea942c12d277649addf70cfc8ac391a137c89630148120a74ff37c6c9ef88bdce9261323cd6eddba7a34f5367b9b2f3316465954cfc2a5777b02f
H_min: 5.9320 | R: 1124 | Data: cb48bca0a80719f6b7373fd6d976555a5b78322f8b8a99213db4358cb4e191029ab6605553c099cddf311193f7d11380084c7cf9c45cf6fb879a56342f52563737c3e01b462801c2bf3cacfd9fd0c82575d42b7fbc0ef6505561244f62eef31e964f733a016959273264b98403df5288f72a117701a676277dc43fc7917a9c23
H_min: 5.6000 | R: 1119 | Data: f6e4b1cafe389e1e98becbee7a9b31aa42902842c07b7989e0fed2608c492ce61f39660b5d3ee40771eb2200b87238abaa62901a6890d1fa25b2b8f77d1a261b52d20f0bb05c2290885d7e7ba86702a024082dcf23dd8e5b0b7a8292161ddb51e2787ff1a34c4f55ab2cfd8a3c4ab5f618f5749213653e7f044020c2f139a0d0
H_min: 6.1425 | R: 1128 | Data: 51317c43147a471116be451f6aa3c95cdbf36994e472a062c63b63c11e2c53da1dc82a42d2cfa79fffc552450c78cbcf166b69b592cf9425cae43ceeb48846479543ed41392794f00c4a7300eb2583fe12173a22f1ca4b669e07c3e9949d39e63226c976d28101c1a4203d13f6aa4abb0817f0a75a87fd73ca9f27820f59eb16
H_min: 6.1425 | R: 1104 | Data: 316dadd99e82fce792531519b341e8951788988e23a9b22ce8085aef6d36f8f2b72127041733b1534f720cc9cbeef29d4e327052c83ab223b629ac9b6ea5c4acc3e1a60bee09ae78b03d072fbb5af702dbe4743652e9761ed56de5d6b38c01589c492195451be2607cded87261ac8a12d34843ec1ef478ffa35053eadbd3a400
H_min: 5.7541 | R: 1113 | Data: bcd6cd662756cf5e51fb23417dcba6ee98074b120ea01071036863cb90e347f8514e6abf97db4b285492ad696062fefcc7596707592b043fb6a4192413bf35410e83b5066e8589ccd255e5a5c7c3180f8c026d15a455f2e3868cec434b90698ea7ee15e8c9f4b7e2523015aeac82a26933f868e70afc6421188c931d041f1a41
H_min: 5.7541 | R: 1113 | Data: 3e23b9250b6aa0c01cf14ae492aea50ff1ea3a91fb2c1fa8488f239f55c8ed79272165d4ab7141c0815eb2bdf485b2dcb0a6d8cebb78eea425d1fcbe1e7c5e014b31160345659d4fba2a179ac03c42dad0e5f965d64ee634e5cf8cf35a93a4038d83fde70c7716b5b17fae3f2a72be54b27ed8622b6baa26615c8139440bff65
H_min: 6.1425 | R: 1108 | Data: d8baa7fba63d5ad3f334e3e2ab6d097b54ab35c0e678fee64c13a5fb5cababd3af68fa5819f1e728f3066c780919b85578005950faf19bd5ce03ebb248ac9177c1be973984dd44496e794caaf5dce540de30fe0273afd137ed37351a66fdafe38d446f7fe169372dc2e7fdb6b9eb3785e4ee9dd9b0c664edeabbb73f9f37586e
H_min: 5.6000 | R: 1129 | Data: 11fcae5524d7a9afaaaf1eef22c24b172a9ace29fa5964e3a14821addf3cf260b48470fa96c4021780a2f92de35f543af85cbf518145d7fd9ac74896701081807468b7f6ba62404dd03ef15d5dae4c43bcb927e9dc433ae3b93576da470d24aabae4ba956c3a1618047aef9513a06575c4a9a95746196d6aad24df9e66a3cb8f
H_min: 5.9320 | R: 1138 | Data: 14e62b8e56104a43a249312f5e69428da55798e04328ca7053548a2303d203ec5cf6d99989c731353c1db2968a116228e42ac8010a673473397a47d6d8e9eec2da25ab147aa68de4ed3086bd6d2a4739aedcb0ba2da595577dd269e7d1c42a7018471e608cf8ca12c113df6d53ed55a0ef3bce3141ffe70d6292d965bcb39730
H_min: 5.9320 | R: 1131 | Data: e99496758dbb0aff7a2eb2ae4382db2844831713a12d3201f974c845035655e2b72d722b069c39a2d0b4de0c153b16c590b95625b399eef45b40e15a862ac75438abfde213be39f8372119fb727a0a525349e93af48260afa8d197e140d3581fc7cf39e7d23ada0a869be11848394a4df33ee937a0c0a10606b6d8ff706cff79
H_min: 6.1425 | R: 1143 | Data: 8e515c7c22f5522a0fe49c91938e50d4ce45198064be32b6cca41c02d56ebecc99732d34367fd90201197b61c92096017f09277370dc31c06bcc2d2581b764e451c8c527544bbd5382c111e326f1a2281bac0dff1c0eaecd2f523046a151f8025fbb43b21700bdd872d3f58154f2f220bce7d112f30e0043455e6e9dd2372925
H_min: 6.1425 | R: 1107 | Data: 4c9ac0cb5583f476e44887b95d39897473735fefb6151ba49e12e1e41b240ab434d9e00b471e5999353dda802fde8c40b843c3628053792d1c3a1d5558247e9ff6d83d7f9f3efb9c37b838d5d994826535b947bed6597bc9cfb46bffa694da94482ad6656a35e426dc1c6286c4c6ac8324b3eeda2cb3cdc25ccf87f9eb808954
H_min: 5.9320 | R: 1135 | Data: f50b5f9e8b3998950afeb35cd5e021a36f9f2869242fe65d84c42c2dfb6c9a010bb92a4de1764838f32d6e01e040d76ba8a045d31b364b65e78f9bdf23a009c6e72fe84ef280da22d77630d262513121a50da465b3336a656936814d36d4db7086ccadc4046f26b1f091179765185fcb708c73d55d4e296b4800d6d0740ebfab
H_min: 5.9320 | R: 1109 | Data: cc9332f0b1e215b18a2fb2ea19eb395e5321846e7e67b95df684cfa5f96b8d8ba84dd0b692b95131d61e7b3efd28376047778d22d4509b78f2f310aa867d65d351bd727d9e7bc1ff05b0ebe4dfc3d9643c752c45ee99177bd8bb9398e086379347b1f3d9d9b12d14a23e7f2ff438f90edb0f4c58c0a6bb81f8a796ea3820541b
H_min: 6.1425 | R: 1124 | Data: 0116ad3fd9c96cbbc602c66b88e6986e1d083968b3c114ebb5e68ba62f7cb421b2b75aa5017e496dd36e69621ef04a6c11de6ed0a61306b08f4786f9d4be4c124193e901a34d5efb543a54a23fe661705c0c451417efd9d5a455f63cc6400d54e7e516e2c28de75193d77c4e776bbc5da07c8efe1537f456bb812e6a7c2318fc
H_min: 5.9320 | R: 1120 | Data: df63117af0cb69ea6f525a8b480f7cc39003d90f58e442f90f390148fa9aab8305f75d3e1d782184e38f5186dd1d7683f10e49ab77d1e76946b98bc5e81783aef3fccb160ee86bcd9abe79230ea3ffcc35159b5d87d10834535d66786b05466a096edde362d08b295f020545a7e8d0cab3015da9983acbda1a15a2faa0a7a427
H_min: 6.1425 | R: 1123 | Data: 8812222aa4843eb16ec296857fbe9bca33189e6c3c38dbc65561a912a889145a749b21d6fa687d67c82a1fff312b6c2a0ea13d9447ea2a32c8c44fc76aa7a2ccff932c2e29c26c7b60a106c0e7d654f0b0e84363c6c475e0e018bc286d292aeb2e4250b65a6a7f295fdc4fd1bfa50c7b4eb854704d958ca70ca20df9fe6319fb
H_min: 6.1425 | R: 1123 | Data: c5b74e8dc2e3d4a3251c5721ce4b18d07a17b348bbed1c07b03a9313926756dab2fcf5ae138cd1dd5446df8008acedd9f69e0cc0b7a737ef831c8f63ba72a3091b8f7eac940b5440c9ebedd9cdf9ebfe57b3a8ba162b9529a5aff9d6d6e3f73f1b1982f6a50f596286a04b8709974e7a739d23cf47d2527767c719e38d500dae
H_min: 5.7541 | R: 1138 | Data: 395d37e03fb34d721dec84556ebcc3a684c2f8ca9c6416ec89c48f11631bdaeee03a3c9463a4f42e5572b9663333a4d3c1cf92e54b35d458380fc7c7857a76c51474275df3222e874810c12992c273ebd96b6de38e28670e31bd35e0169865a1f759e0aaadd6cf0345738ae64e156487c4029bfa6492f8c5895c912ab0dcd4cc
H_min: 6.1425 | R: 1130 | Data: 3e05fa54ed5a862ce5c3206016c5b0aa9f2a906a6c76ca98a8a3e57caf04a75c147525688f3fa81e086f2f2f8712d06a409f94e808dca69970eb0654cde9ea0e8b18068b2971704cf50670fe958c69d98358c9dbf28a3ab478bf8b0166b102f3fbd370b51712aa68887348eea38000c9efc95ab42df9377a3c22bf53a8ebd9bb
H_min: 5.7541 | R: 1145 | Data: 29e2ed6a07bae6849ffc72f0d65309a7d65ce1a27f158b03502c2d12592818eca28d3c5c64241952846c5b9012b59d38f2e40fbd5538eafaf795779d7e857b818b4f34382ae29b7d30a80473928a61ad90fa2edc9dbd060b37002354fa99297973ae92d12aecbda6ce0d4cab9f5a38aaedcf09981e2443f6e39f840cde57b4f5
H_min: 6.1425 | R: 1116 | Data: 3d51a132b11bb72605958925f8132f309eb007195e4c943c8eee41fa1bf47dfbc10d1cb0d870f96cc56714d28a504bf716d8d908d5fcbb55b316515e30e50c095b478198ef50b53698cbb5d1ea872365150753afac4cbad2636dba24e53130a2d0921f441f5c4c34218683766c3135df842f20042c542ce77b8c41ebcfdacb14
H_min: 6.1425 | R: 1118 | Data: d9a1f7f96182b24efe59709cede77ddd8c36989e21f8bb9833decdc2996b90f9b987f3988528d52ffae2d979fa505727956c90aa72f5b81800fb01dcdae6497d136d525303f02cf2160d86a2d55b550736bda211871d291195b9567acade6b7588302be92aa77d7e1505c37d81ebe6bda3bd471a4ba4263bcaffcc15fb7efa80
H_min: 5.9320 | R: 1139 | Data: 0f5c49894672028957ce8ee8ffe6d05b4e7faa4e6f8f8abccabd716adfbda52ddf2436284adadc00946fb59107db501d05093f0f60c76fa86494d0855e4ab973ecf0a2a5d09f5bd7956b8b84c7333a81ea2426a235f5f72f490f7e10f912f1ddd3b7a1d026e9acd378bc9f111f90c05ec48e5a0d7600183f0510eef0e24074a8
H_min: 6.1425 | R: 1138 | Data: 69cce29ab89a1e4bd20feaeacb32b19aea018d3d2067672165f01974da4a3d7b4b80a5844dcb92f79349a5cad43deb7ed1a83e9db06d7376f1b9d9771cda06c9891b275c915e48d711c80567939c4d2e7488394a61fc74917a119a20a5e383317d405f6335253582f182251c374461a7addb1b0d4509199c167781124e4a3c99
H_min: 6.1425 | R: 1098 | Data: fbc5b2a5cd2e44d0cfad96bbb45f092fee7a88d6a89d2aee6fc8fa8264b1ba3a342f3e5c87f3dc22e5df4fa68c98ee7763ba4ff743a21dc61bd7eaa45365eae6e4d0600987ae732793eda95b01cfd0c363679d5c562600909c8ec8e6f2cbc8d4b5782188c3def6decaf8adfb178c5f0fec6e806b61299d674c380d49b992c20b
H_min: 6.1425 | R: 1116 | Data: 002b398f8841edebaa100104fe7c169e9294f6c79f823ff1d7e3863e26dac9d2983cbf76421b2dc30084e13830bfe2a21dc443fb1686d0f76aba36178c1183e5860bed273ea228644194bbf136edf99707e0521aa97c83296f6ff8f94c46206f1bda28791992eb72a31311c110b31c6f0c73d200a4ddf9679c60cc5abe4ca666
H_min: 5.9320 | R: 1108 | Data: b3ef7b80f3bf56d043236afc2ac1e9b992df14187e295ee189a933e6d054524b52c058259b59ec88f7edfbda9a90e4bbc8c6f3dec6a391baab107299e4997735624bd2f98d6fa45f8c21a3e56b62d47de9eba5a6bf34522fcf0e2e7de85e56650fe4f3b2758c53a7c510bf448332f8af2b2a64088ff8044c5f0bcba04046a522
H_min: 5.9320 | R: 1143 | Data: 6fb63eda702477a0f5ef0830eeaa3103ad0afa17fd08d0cd6b87fb02a60860790aff8f2ac2457fa72a5e8ad5821531922bd59448f57886387fa3fc9b1d9e7ac446c5e5089db5d22d6c40c316ba40520394af12b7e1e13910fc526f408ed12aabd3bf96ceae37115e02ff345ca36120938e6e870b14440edcde8a82172a6c5051
H_min: 6.1425 | R: 1155 | Data: 60d5479b31a97d69f74362e0b373e1dbc09741abc673d885f655aaf44ac75672e4d2a148b1abee9c09fd27962835c8fb794e57c64b32a356d15dc54c2d7203af2cfd31535d6272e3252334fc0cf095fb2409afeb8a4f95d915470b8f24f080f2c97e224930afb3278ae29b232eed386b44551f7661d03d21d077b046204b7e57
H_min: 5.9320 | R: 1128 | Data: cfaf8870a14f74748253ef018f711a086c9a17c6a44cf6aa2ac68c6d37603a1cc54dd0550dce80177ad62dc8867f7781432e0a46f934889266b39be251001006ea60ef37408dc3835017eb12fc4d8c29061772a9d52f0782a640ef4b570c5c7192e01fdfca2ae46be3090a50eb9c6c0bf98f208962a7924bc9c525a80b8097dc
H_min: 5.6000 | R: 1123 | Data: 7b7285740aa534874ebf9a3a3fd7ce2ba5597e6b628cb283b334ca18bc22198afb788b96f85cccc9fb42922b47c0b0c53c5c2f935986ef3270648a8d52b69d13ee39523d7d0b97066052b20335b703afb544e6c685be424612e343fd7392c5b69d3c23c00c79ec98be1202c2545e33151803c116f1559d5ee67add2d5ca52cf1
H_min: 5.9320 | R: 1128 | Data: 1e8a0bbc7605dacf3b624e44b459d35a782497e65933f45fa2b66391bd469195b351cb123652a4b716d16821896471f2ae360c19a031f340cb299831b5af11f1bb3abb3aeae088ee534bfeb608b94bdefce52ebb0d0df5d1dc4b5b1b04feae9ad83bcef32bbf7da13c6b4970a34da98234fe66ce71885b0b8d430301537d6a82
H_min: 5.9320 | R: 1124 | Data: 6a1d1cd183fddd05c695310b819d905ad1a2aedcddc4671cfa3663b2e281421146daabbb549d9d1503eb9ed03c63c88c7c0c972f64eacb4821bb926da5653d8d4178790d656177e25f061f92f4e59624100a68ca50b2b5b815ef3ac1f2d5dcb611c1a5d4ef9b11175f5e9f4b0ff9d548891f8eb8bf493755b7a2a1b94a8922e9
H_min: 5.9320 | R: 1135 | Data: fd6bdbf9c61e6fe79cc80eefa54f8e03c67ef6f2423bdff3b5c9fb521627890dfb32dab8f0eb58717171c298c1ce8dce53860a65cef3e6b738eeb221b537b33c833cdd347f931fbacd29160d95b571f65f04554c8c2eade53a0020bbf34d31217e8f5c5f598055638999d025c696a6c2e239a815db5c5a9563f4926bc26f8a9d
H_min: 5.9320 | R: 1120 | Data: 9a51d3c3ea3cc5d1103f1d34bf2ed8998c2238a38e15a61fcf776b2a6a8de5c70ce211396367079d4df88279bc19ef5f95ba254f83694f868f5fc69f886e33b3eee6bd545209a1dc2c834cd378e6f9f42d17e2f4aed6fa60f552c2f838ad857e666c70ea20d9738510b873dd1f1ec361093071cc18bcac240d05c7071cb69318
H_min: 5.9320 | R: 1098 | Data: 8709c6efefa2f613e3c3281108f43d878c2a64fbf5a74243665684fdfab07171d510fddf92bad1e92ee44dd1cc2aba4add312f03fdeef710fb64d56e73b84406304fc520b00fca3713f5b912771e34104777cde5fc4c0a476a22477f1462a80c274d3a240364b7e0d76113fd8f342ed72ef4680bf3b15b98c646ac6da5c46c9e
H_min: 5.9320 | R: 1116 | Data: af2e46d7fe87b623f81c8754d9eaf1b23880cde997fb9824c819cba0290afe7540f522a5ed9bad4d4b0a1424f2ef08ce7677d6843479568424d09ad6cd6fd1229a2da623799d5fb64481dd8d1ce943c148b9070935dbb150fdbdcce06eaf937457cad577ab46e3a7048ef6e7d73ed60fefc15785178741bfac15983d27c07bee
H_min: 5.7541 | R: 1115 | Data: 4b352c175dbe4e125d21e5f9002c06b83e61b0a3691c3b9b26f925cb7d43a399b3755ede3bede5a31c86ce194bbe1938fd002d2eb528ca7b70a9e54c70858f0cca3e7252501bd333a78003eb5c2f0ab6047b71805ec7ee0bf91e69c3eeb6e015f42f11cad9ca289032c80a501ea16dd91733773e0746fd208fe31a974f33e13f
H_min: 6.1425 | R: 1121 | Data: 21a6e93153a8e45d013c8b0912a5cadb1ae2a1f00e481a50c187e6b91e172df1ea1c95d8d346a25cd50bbe5337aac4a580208a4ff17646df332bc718603f24051672844a551446e966205f3c337ab53b1289ef095ebf984cdc180b49a9fe7a77a22b5d351af1f1a7ca6e64dba0b5de7666766f3673ed9132d17c541a57270057
H_min: 6.1425 | R: 1104 | Data: 6fa553164c58baf3dba6ab26b19e30d853ca8fab4183ba5de40f7802f167261d482ad43c2d4190544e69f9ad7f9a5a351aff0aa00a40e5900be5d9e5e6ef1a1c4f8c01d935b94717718716c098faf50c02fe072997b3a684934f8976c09b6485cff5bf7b1ee8fd4f6d6c49d4fd25da1260779dd62f99102904e344a625d806bd
H_min: 6.1425 | R: 1096 | Data: f58000d28c4930e321b7f5bb30c9db9f506ed734a5c8b10e90a9da002df1fc899e71abd2c9c769c0fb71e3899da487fb34329ac9f2a45ccb4e081c84b4fd811eeea29c62cb985c5cb50b8e64d5e1d2a34f95e89c4ffc15bc57e1bda1be03f9c2698d04ec229ea44f17863894599d592bbc0ebe32bcdb15a3a5145782ffd2a766
H_min: 5.7541 | R: 1103 | Data: c33aa938ef24c62ab75ef833bfd7f02309d2b731789b92b41de66e2bb9773568b38ee0e39ccbd0d8c0342d09e3c261e70d4158179fb7ab40b7733cdcbdb77131dfdcfc80f8e69f804796dc0a4408154e46e2179ad1608f19273f822c1cbad8270a1b1e01c33ea6a1ca1096f53dc54eafa2e2491968ced822158a50baea954d1d
H_min: 6.1425 | R: 1148 | Data: cdcb0ae03b9f97609a9bbf79096536b9ddca54047bf0f8c09a4f5b32ef6aa1ee2f5cbf683f473e850c05586a9f5a426870f128112115a878e848f21a098b6c4de0a6eaec904735c16cf4c901cbf80b138e766bfacb1d526b73ae7fba184c1d6b5b15a96ea5f796935c0f3f183c3597f6b7412c273ee2575aa027ede7578cc135
H_min: 5.9320 | R: 1138 | Data: 89f47ecdd0982803bc8bd61974509dae2c68222f0d178bd2fc5c2b37b05b13c14eb4ec1271edc882d66266a25275926062ee51a61a5a3775af67da1e5e599f6e02861f70e2b964cd0a06e2194442f0e203a6ef56404a535cc2e64c095d9a8b6bc591931be765414dbb27ca9ada8a7bc2bbf1761a4695c0efa8d3c63b9a140721
H_min: 5.9320 | R: 1112 | Data: dcea8ceb197466c3017511d7b95c932e17be72d6151436057f5920c989ede7b4b486b35fe0a250f3418365012a6e3ad73143de14981bf9a7f29d188e0538ffd50641c74178f8a08661e22b4b8878ee5c993c342be2e673822aedca5c6ac15b8c5e9265dbc04555f9ed2174010a0d22c8ed6e2fe21a375607087bc80ebee062a7
H_min: 6.1425 | R: 1128 | Data: fb86358f59edaa31d3f23ade886c0f13d2ab37a96070317377db8827cf9bd179438fbd96a1374afd3459a820ce42d14951d258a681c3780c05914c1f9e957d52027242318522ed439cbf764ad333b3ca1c505ed9e958ad24261f7f041fce0ec2c6d46542e658c1c757d522ff2c397d19b7d398e7711bb63a3a7d862908b0d6ea
H_min: 6.4000 | R: 1118 | Data: 52782e8c458e125066952b74d3b5244071037f7511f28448bd21ae0fb486e1dd8edf42ee4a23cf1e2db01f0b9e52840c9dbaca3efcda08efabd886264e8ac58eaf6798970e528417e81abbb6d82b18923704e4c880faaf3d79afbb989b886e03dadf0c4f033a3d3fe594905d6f9d66aee5844a3281732b88fa345661298c78b1
H_min: 6.1425 | R: 1105 | Data: f6ddddf38db03c7937c68468e77497280c82e0fac9b980177f4e870881861d3522559951cb9bd27a8d7832e984a882a599ab86bad9a37ed46c306645c8a416b8ea6be0f1dbd7f1027f8e0a8d2de8461bab2737fcdc9ccddb0e6144d729fd3bf91017bdc583bbf0c417159cfab9c0cc2f987ecff48cb9e382c4063466e0d72df8
H_min: 6.1425 | R: 1131 | Data: f2d6f1eb9274865507d233a2b27b5804dabb54d43e482c0ef6e620ed3bcc3e1207e69f7ac768b0e88e95127953fa3576e59d109561d3eb56d80e45e3b9dea8301e6b503fdfdf47ebfee8b79c55adbf29618291497ebdd8b0e45b0f73890f490636567d3ccb557debaec15951a222282d5c7a5adcc75f527eeb60535fcec64a08
H_min: 6.1425 | R: 1116 | Data: 04c7c697c700a76501b3815968017aec2937cc1d759a9aa71220efabcd363e463bbe9483160affaae29913fb3415f16614de7076723a92f704da5cb158068fd3917ff7c40ec0d4fcd45332a143eb65839f890337c1125f51d5b43d07994f80be2c8efddc5dccd5214ffc77b9366a45ee65ff20145d59f4c599b8007ed2fd8d8c
H_min: 6.1425 | R: 1130 | Data: dd8e64f2c4b44c252cfda108c2960893c127c1dfc94188fcba0d6463c3251d967ac55535081f15bd20b8068c2f412123b9ec1c5623b5dfb8cf0fce122a4b65e38312f811a293f1367d9bfb7200022f913545324a3c9c9f19a49940659088f15447e77d5140e483f0dc7ebbb8a745e58201418e59eb19f6ee6a8af06df72890ba
H_min: 6.1425 | R: 1120 | Data: 0840418d5767210229e2d646f5fcf9b439532f66d53d098abcd91c429ce4cd37f3e5fcb96875d5656397a0c8f963c8e1957dc34d4d15095ad173772b658ae42fc37c4030833382275e87c9e8c884bb74759231b3bb70b9c4e7d1b38213df8ea708eb869eea74aacafabff7cf483a6db7acb879ca2e1b4dc8aef51897b24aa917
